,player_id,pro_team_id,year,period,stat_type,player_name,rush_attempts,yds_perCarry,rush_yds,rush_tds,rush_yds_perGame,rush_firstDowns,targets,receptions,yds_perRec,receiving_yds,receiving_tds,rec_yds_perGame,receiving_firstDowns,pass_attempts,completions,completion_pct,pass_yds,pass_tds,ints_thrown,games_played,pp.position,total_pass_attempts,total_rush_attempts,target_share,share_of_backfield,ypa
92,4429205,16,2024,Week 02,Actual Stats,Jordan Addison,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,0,WR,21.0,19,0.0,0.0,
93,4567104,16,2024,Week 02,Actual Stats,Will Reichard,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,K,26.0,24,0.0,0.0,
94,4567104,16,2024,Week 02,Actual Stats,Will Reichard,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,K,26.0,19,0.0,0.0,
95,4567104,16,2024,Week 02,Actual Stats,Will Reichard,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,K,21.0,24,0.0,0.0,
96,4567104,16,2024,Week 02,Actual Stats,Will Reichard,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,K,21.0,19,0.0,0.0,
97,-16016,16,2024,Week 04,Actual Stats,Vikings D/ST,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,DEF,28.0,34,0.0,0.0,
98,-16016,16,2024,Week 04,Actual Stats,Vikings D/ST,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,DEF,28.0,18,0.0,0.0,
99,-16016,16,2024,Week 04,Actual Stats,Vikings D/ST,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,DEF,0.0,34,,0.0,
100,-16016,16,2024,Week 04,Actual Stats,Vikings D/ST,0,0.00,0.00,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0,0,0.000000,0.00,0,,1,DEF,0.0,18,,0.0,
101,3042519,16,2024,Week 04,Actual Stats,Aaron Jones,22,4.23,93.00,0,93.00,5,5,4,11.50,46.00,0,46.00,2,0,0,0.000000,0.00,0,,1,RB,28.0,34,0.17857142857142858,0.6470588235294118,
102,3042519,16,2024,Week 04,Actual Stats,Aaron Jones,22,4.23,93.00,0,93.00,5,5,4,11.50,46.00,0,46.00,2,0,0,0.000000,0.00,0,,1,RB,28.0,18,0.17857142857142858,1.2222222222222223,
103,3042519,16,2024,Week 04,Actual Stats,Aaron Jones,22,4.23,93.00,0,93.00,5,5,4,11.50,46.00,0,46.00,2,0,0,0.000000,0.00,0,,1,RB,0.0,34,inf,0.6470588235294118,
104,3042519,16,2024,Week 04,Actual Stats,Aaron Jones,22,4.23,93.00,0,93.00,5,5,4,11.50,46.00,0,46.00,2,0,0,0.000000,0.00,0,,1,RB,0.0,18,inf,1.2222222222222223,
