,event_id,commence_date,bookmaker,team,is_home,opponent,home_team,away_team,moneyline,spread,spread_odds,total_ou,over_odds,under_odds,week_label,opponent_pro_team_id,opponent_division,opponent_conference,pro_team_id,division,conference
8,591fd7cff37201a14cbdfbd457592445,2025-11-16 00:00:00-06:00,draftkings,Jacksonville Jaguars,1,Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,124,3.0,-118,43.5,-118.0,-102.0,11,24,AFC West,AFC (American Football Conference),30,AFC South,AFC (American Football Conference)
7,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 00:00:00-06:00,draftkings,Tennessee Titans,1,Houston Texans,Tennessee Titans,Houston Texans,295,7.5,-110,39.5,-110.0,-110.0,11,34,AFC South,AFC (American Football Conference),10,AFC South,AFC (American Football Conference)
6,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 00:00:00-06:00,draftkings,New York Giants,1,Green Bay Packers,New York Giants,Green Bay Packers,320,7.5,-110,44.5,-110.0,-110.0,11,9,NFC North,NFC (National Football Conference),19,NFC East,NFC (National Football Conference)
5,7147476b5d96c0ee874b838de3910ee3,2025-11-16 00:00:00-06:00,draftkings,Pittsburgh Steelers,1,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,-225,-5.5,-105,49.5,-112.0,-108.0,11,4,AFC North,AFC (American Football Conference),23,AFC North,AFC (American Football Conference)
4,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 00:00:00-06:00,draftkings,Minnesota Vikings,1,Chicago Bears,Minnesota Vikings,Chicago Bears,-166,-3.0,-108,48.5,-110.0,-110.0,11,3,NFC North,NFC (National Football Conference),16,NFC North,NFC (National Football Conference)
3,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 00:00:00-06:00,draftkings,Buffalo Bills,1,Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,-245,-5.5,-110,49.5,-105.0,-115.0,11,27,NFC South,NFC (National Football Conference),2,AFC East,AFC (American Football Conference)
2,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 00:00:00-06:00,draftkings,Atlanta Falcons,1,Carolina Panthers,Atlanta Falcons,Carolina Panthers,-180,-3.5,-110,42.5,-115.0,-105.0,11,29,NFC South,NFC (National Football Conference),1,NFC South,NFC (National Football Conference)
1,265f0188945bb81ec64751571eb724cb,2025-11-16 00:00:00-06:00,draftkings,Miami Dolphins,1,Washington Commanders,Miami Dolphins,Washington Commanders,-148,-2.5,-115,47.5,-112.0,-108.0,11,28,NFC East,NFC (National Football Conference),15,AFC East,AFC (American Football Conference)
28,6d209e0e637f3b116ec958e0634f2a02,2025-11-16 00:00:00-06:00,draftkings,Detroit Lions,0,Philadelphia Eagles,Philadelphia Eagles,Detroit Lions,102,1.5,-110,48.5,-112.0,-108.0,11,21,NFC East,NFC (National Football Conference),8,NFC North,NFC (National Football Conference)
29,80d04ba917883a6438580ebae9fb0f22,2025-11-17 00:00:00-06:00,draftkings,Dallas Cowboys,0,Las Vegas Raiders,Las Vegas Raiders,Dallas Cowboys,-192,-3.5,-110,50.5,-110.0,-110.0,11,13,AFC West,AFC (American Football Conference),6,NFC East,NFC (National Football Conference)
