,event_id,commence_date,bookmaker,team,is_home,opponent,home_team,away_team,moneyline,spread,spread_odds,total_ou,over_odds,under_odds,week_label,opponent_pro_team_id,opponent_division,opponent_conference,pro_team_id,division,conference
8,591fd7cff37201a14cbdfbd457592445,2025-11-16 00:00:00-06:00,draftkings,Jacksonville Jaguars,1,Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,130,3.0,-118,43.5,-115.0,-105.0,11,24,AFC West,AFC (American Football Conference),30,AFC South,AFC (American Football Conference)
9,91630b9c62640117918fa30d2a62d2db,2025-11-16 00:00:00-06:00,draftkings,Arizona Cardinals,1,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,136,3.0,-112,48.5,-108.0,-112.0,11,25,NFC West,NFC (National Football Conference),22,NFC West,NFC (National Football Conference)
13,6d209e0e637f3b116ec958e0634f2a02,2025-11-16 00:00:00-06:00,draftkings,Philadelphia Eagles,1,Detroit Lions,Philadelphia Eagles,Detroit Lions,-148,-2.5,-118,46.5,-115.0,-105.0,11,8,NFC North,NFC (National Football Conference),21,NFC East,NFC (National Football Conference)
10,e926e654cedeb65fcfcc389a5158ef4e,2025-11-16 00:00:00-06:00,draftkings,Los Angeles Rams,1,Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,-180,-3.0,-105,48.5,-112.0,-108.0,11,26,NFC West,NFC (National Football Conference),14,NFC West,NFC (National Football Conference)
11,cc60225b5a907bd9ba7c27c23131fc5c,2025-11-16 00:00:00-06:00,draftkings,Cleveland Browns,1,Baltimore Ravens,Cleveland Browns,Baltimore Ravens,330,7.5,-110,39.5,-108.0,-112.0,11,33,AFC North,AFC (American Football Conference),5,AFC North,AFC (American Football Conference)
54,8c2d6a56aa63f42227f18a18fc3d2146,2025-11-23 00:00:00-06:00,draftkings,Atlanta Falcons,0,New Orleans Saints,New Orleans Saints,Atlanta Falcons,-166,-3.0,-120,41.5,-110.0,-110.0,12,18,NFC South,NFC (National Football Conference),1,NFC South,NFC (National Football Conference)
44,cd2e0964817c30ad3f5144ea49b55f2b,2025-11-20 00:00:00-06:00,draftkings,Buffalo Bills,0,Houston Texans,Houston Texans,Buffalo Bills,-155,-2.5,-120,44.5,-110.0,-110.0,12,34,AFC South,AFC (American Football Conference),2,AFC East,AFC (American Football Conference)
45,7159d60c7a31c7d593167637723d7663,2025-11-23 00:00:00-06:00,draftkings,New York Jets,0,Baltimore Ravens,Baltimore Ravens,New York Jets,650,14.5,-110,45.5,-110.0,-110.0,12,33,AFC North,AFC (American Football Conference),20,AFC East,AFC (American Football Conference)
46,c8913b70b63ae247f23a4e1dec08c668,2025-11-23 00:00:00-06:00,draftkings,Pittsburgh Steelers,0,Chicago Bears,Chicago Bears,Pittsburgh Steelers,105,1.5,-110,46.5,-110.0,-110.0,12,3,NFC North,NFC (National Football Conference),23,AFC North,AFC (American Football Conference)
47,1a8f3d70399a5cad83c95196795ed77b,2025-11-23 00:00:00-06:00,draftkings,New England Patriots,0,Cincinnati Bengals,Cincinnati Bengals,New England Patriots,-245,-5.5,-110,51.5,-110.0,-110.0,12,4,AFC North,AFC (American Football Conference),17,AFC East,AFC (American Football Conference)
48,535bbe97d4e56494b039ade88459c338,2025-11-23 00:00:00-06:00,draftkings,New York Giants,0,Detroit Lions,Detroit Lions,New York Giants,440,11.5,-110,49.5,-110.0,-110.0,12,8,NFC North,NFC (National Football Conference),19,NFC East,NFC (National Football Conference)
49,91019a528f43cd28965fdc68a3f3ef85,2025-11-23 00:00:00-06:00,draftkings,Minnesota Vikings,0,Green Bay Packers,Green Bay Packers,Minnesota Vikings,230,6.5,-110,43.5,-110.0,-110.0,12,9,NFC North,NFC (National Football Conference),16,NFC North,NFC (National Football Conference)
51,0ff4e68cf39cc57ca7cf1276e4a44d2f,2025-11-23 00:00:00-06:00,draftkings,Seattle Seahawks,0,Tennessee Titans,Tennessee Titans,Seattle Seahawks,-650,-12.5,-110,43.5,-110.0,-110.0,12,10,AFC South,AFC (American Football Conference),26,NFC West,NFC (National Football Conference)
52,e32e0030899c06fdf2c74745ca27d85a,2025-11-23 00:00:00-06:00,draftkings,Jacksonville Jaguars,0,Arizona Cardinals,Arizona Cardinals,Jacksonville Jaguars,105,1.5,-110,45.5,-110.0,-110.0,12,22,NFC West,NFC (National Football Conference),30,AFC South,AFC (American Football Conference)
53,27f50ddbc4c3fbad10398c5187a28dc7,2025-11-23 00:00:00-06:00,draftkings,Cleveland Browns,0,Las Vegas Raiders,Las Vegas Raiders,Cleveland Browns,105,1.5,-110,37.5,-110.0,-110.0,12,13,AFC West,AFC (American Football Conference),5,AFC North,AFC (American Football Conference)
55,4553ba763cb3cfcfc33fd62672a2057f,2025-11-23 00:00:00-06:00,draftkings,Philadelphia Eagles,0,Dallas Cowboys,Dallas Cowboys,Philadelphia Eagles,-205,-3.5,-115,50.5,-110.0,-110.0,12,6,NFC East,NFC (National Football Conference),21,NFC East,NFC (National Football Conference)
50,8b39d8dc550ced94f9faa91878ebf6b6,2025-11-23 00:00:00-06:00,draftkings,Indianapolis Colts,0,Kansas City Chiefs,Kansas City Chiefs,Indianapolis Colts,180,4.5,-110,50.5,-110.0,-110.0,12,12,AFC West,AFC (American Football Conference),11,AFC South,AFC (American Football Conference)
28,90391be251d876bb41d36978a43c7ac2,2025-11-24 00:00:00-06:00,draftkings,San Francisco 49ers,1,Carolina Panthers,San Francisco 49ers,Carolina Panthers,-305,-7.0,100,45.5,-110.0,-110.0,12,29,NFC South,NFC (National Football Conference),25,NFC West,NFC (National Football Conference)
27,9e7119f5a24471c39145663b84f100b2,2025-11-23 00:00:00-06:00,draftkings,Los Angeles Rams,1,Tampa Bay Buccaneers,Los Angeles Rams,Tampa Bay Buccaneers,-265,-6.0,-110,49.5,-110.0,-110.0,12,27,NFC South,NFC (National Football Conference),14,NFC West,NFC (National Football Conference)
26,4553ba763cb3cfcfc33fd62672a2057f,2025-11-23 00:00:00-06:00,draftkings,Dallas Cowboys,1,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,170,3.5,-105,50.5,-110.0,-110.0,12,21,NFC East,NFC (National Football Conference),6,NFC East,NFC (National Football Conference)
25,8c2d6a56aa63f42227f18a18fc3d2146,2025-11-23 00:00:00-06:00,draftkings,New Orleans Saints,1,Atlanta Falcons,New Orleans Saints,Atlanta Falcons,140,3.0,100,41.5,-110.0,-110.0,12,1,NFC South,NFC (National Football Conference),18,NFC South,NFC (National Football Conference)
24,27f50ddbc4c3fbad10398c5187a28dc7,2025-11-23 00:00:00-06:00,draftkings,Las Vegas Raiders,1,Cleveland Browns,Las Vegas Raiders,Cleveland Browns,-125,-1.5,-110,37.5,-110.0,-110.0,12,5,AFC North,AFC (American Football Conference),13,AFC West,AFC (American Football Conference)
23,e32e0030899c06fdf2c74745ca27d85a,2025-11-23 00:00:00-06:00,draftkings,Arizona Cardinals,1,Jacksonville Jaguars,Arizona Cardinals,Jacksonville Jaguars,-125,-1.5,-110,45.5,-110.0,-110.0,12,30,AFC South,AFC (American Football Conference),22,NFC West,NFC (National Football Conference)
22,0ff4e68cf39cc57ca7cf1276e4a44d2f,2025-11-23 00:00:00-06:00,draftkings,Tennessee Titans,1,Seattle Seahawks,Tennessee Titans,Seattle Seahawks,470,12.5,-110,43.5,-110.0,-110.0,12,26,NFC West,NFC (National Football Conference),10,AFC South,AFC (American Football Conference)
21,8b39d8dc550ced94f9faa91878ebf6b6,2025-11-23 00:00:00-06:00,draftkings,Kansas City Chiefs,1,Indianapolis Colts,Kansas City Chiefs,Indianapolis Colts,-218,-4.5,-110,50.5,-110.0,-110.0,12,11,AFC South,AFC (American Football Conference),12,AFC West,AFC (American Football Conference)
20,91019a528f43cd28965fdc68a3f3ef85,2025-11-23 00:00:00-06:00,draftkings,Green Bay Packers,1,Minnesota Vikings,Green Bay Packers,Minnesota Vikings,-285,-6.5,-110,43.5,-110.0,-110.0,12,16,NFC North,NFC (National Football Conference),9,NFC North,NFC (National Football Conference)
19,535bbe97d4e56494b039ade88459c338,2025-11-23 00:00:00-06:00,draftkings,Detroit Lions,1,New York Giants,Detroit Lions,New York Giants,-600,-11.5,-110,49.5,-110.0,-110.0,12,19,NFC East,NFC (National Football Conference),8,NFC North,NFC (National Football Conference)
18,1a8f3d70399a5cad83c95196795ed77b,2025-11-23 00:00:00-06:00,draftkings,Cincinnati Bengals,1,New England Patriots,Cincinnati Bengals,New England Patriots,200,5.5,-110,51.5,-110.0,-110.0,12,17,AFC East,AFC (American Football Conference),4,AFC North,AFC (American Football Conference)
17,c8913b70b63ae247f23a4e1dec08c668,2025-11-23 00:00:00-06:00,draftkings,Chicago Bears,1,Pittsburgh Steelers,Chicago Bears,Pittsburgh Steelers,-125,-1.5,-110,46.5,-110.0,-110.0,12,23,AFC North,AFC (American Football Conference),3,NFC North,NFC (National Football Conference)
16,7159d60c7a31c7d593167637723d7663,2025-11-23 00:00:00-06:00,draftkings,Baltimore Ravens,1,New York Jets,Baltimore Ravens,New York Jets,-1000,-14.5,-110,45.5,-110.0,-110.0,12,20,AFC East,AFC (American Football Conference),33,AFC North,AFC (American Football Conference)
15,cd2e0964817c30ad3f5144ea49b55f2b,2025-11-20 00:00:00-06:00,draftkings,Houston Texans,1,Buffalo Bills,Houston Texans,Buffalo Bills,130,2.5,100,44.5,-110.0,-110.0,12,2,AFC East,AFC (American Football Conference),34,AFC South,AFC (American Football Conference)
56,9e7119f5a24471c39145663b84f100b2,2025-11-23 00:00:00-06:00,draftkings,Tampa Bay Buccaneers,0,Los Angeles Rams,Los Angeles Rams,Tampa Bay Buccaneers,215,6.0,-110,49.5,-110.0,-110.0,12,14,NFC West,NFC (National Football Conference),27,NFC South,NFC (National Football Conference)
57,90391be251d876bb41d36978a43c7ac2,2025-11-24 00:00:00-06:00,draftkings,Carolina Panthers,0,San Francisco 49ers,San Francisco 49ers,Carolina Panthers,245,7.0,-120,45.5,-110.0,-110.0,12,25,NFC West,NFC (National Football Conference),29,NFC South,NFC (National Football Conference)
